filename,filepath,img_height,img_width,text_detected,ocr,coordinates,text_height,text_width,sentiment
1008.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1008.jpg,450,600,True,"0 min
Endless Bummer
directed by
TJ House","[{'x': 112, 'y': 149}, {'x': 472, 'y': 149}, {'x': 472, 'y': 418}, {'x': 112, 'y': 418}]",269,360,positive
1009.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1009.jpg,602,600,True,"SHOP NOW >
KANDU","[{'x': 0, 'y': 451}, {'x': 565, 'y': 451}, {'x': 565, 'y': 576}, {'x': 0, 'y': 576}]",125,565,positive
101.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/101.jpg,800,600,False,,[],0,0,positive
1010.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1010.jpg,800,600,True,"Express Worldwide Delivery
www.parcelforce.com
1159 WOH
VIGNY
FORCE","[{'x': 98, 'y': 250}, {'x': 351, 'y': 250}, {'x': 351, 'y': 358}, {'x': 98, 'y': 358}]",108,253,positive
1011.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1011.jpg,498,600,True,"KYLIE
mythm of love","[{'x': 82, 'y': 234}, {'x': 513, 'y': 234}, {'x': 513, 'y': 328}, {'x': 82, 'y': 328}]",94,431,positive
1012.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1012.jpg,400,599,True,Christophe Vasselin Caters News,"[{'x': 10, 'y': 392}, {'x': 131, 'y': 392}, {'x': 131, 'y': 399}, {'x': 10, 'y': 399}]",7,121,positive
1013.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1013.jpg,640,480,False,,[],0,0,positive
1014.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1014.jpg,1024,576,False,,[],0,0,negative
1015.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1015.jpg,360,480,True,"Main Wich
KEEK","[{'x': 214, 'y': 331}, {'x': 400, 'y': 331}, {'x': 400, 'y': 359}, {'x': 214, 'y': 359}]",28,186,positive
1016.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1016.jpg,800,600,True,"Chant
Exit
163
EUCY
Announcement
PA. in progress
Lucy
CH
0447
Longuages","[{'x': 65, 'y': 47}, {'x': 580, 'y': 47}, {'x': 580, 'y': 451}, {'x': 65, 'y': 451}]",404,515,positive
1017.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1017.jpg,600,600,True,RADI,"[{'x': 64, 'y': 35}, {'x': 240, 'y': 35}, {'x': 240, 'y': 220}, {'x': 64, 'y': 220}]",185,176,negative
1018.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1018.jpg,600,600,True,"وانان
SEPT","[{'x': 481, 'y': 238}, {'x': 530, 'y': 238}, {'x': 530, 'y': 354}, {'x': 481, 'y': 354}]",116,49,positive
1019.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1019.jpg,800,600,True,"2005
145 UNDER
CHAMPIONS
adiators
4800
NG
F
JAGA
NG 8
2002-201
MAJOR LEAGUERILLER
WORLD CHAMPI
MARPLEBLADIAT
ROSACY
NORTH AMERICAN GRAPPLING ASSOCIATION
NAGAFIGHTER.CO","[{'x': 0, 'y': 191}, {'x': 599, 'y': 191}, {'x': 599, 'y': 736}, {'x': 0, 'y': 736}]",545,599,neutral
102.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/102.jpg,450,600,True,A,"[{'x': 340, 'y': 41}, {'x': 533, 'y': 41}, {'x': 533, 'y': 282}, {'x': 340, 'y': 282}]",241,193,neutral
1020.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1020.jpg,450,600,False,,[],0,0,neutral
1021.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1021.jpg,400,600,True,"ayesha ahmad
PHOTOGRAPHY","[{'x': 485, 'y': 364}, {'x': 583, 'y': 364}, {'x': 583, 'y': 390}, {'x': 485, 'y': 390}]",26,98,neutral
1022.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1022.jpg,532,599,True,"#CHAPELHILL SHOOTING
3 YOUNG
MUSLIMS KILLED
BY A LONE GUNNER?
NO BREAKING
NEWS HERE!
MAIN
STREAM
MEDIA
LATUEE
2015
MIDDLE
EAST
MONITOR","[{'x': 6, 'y': 20}, {'x': 588, 'y': 20}, {'x': 588, 'y': 519}, {'x': 6, 'y': 519}]",499,582,positive
1023.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1023.jpg,600,600,False,,[],0,0,positive
1024.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1024.jpg,800,600,True,"tv
BETTER
Saul
THE COMPLETE FIRST SEASON
Season 1
SONY","[{'x': 0, 'y': 41}, {'x': 442, 'y': 41}, {'x': 442, 'y': 689}, {'x': 0, 'y': 689}]",648,442,negative
1025.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1025.jpg,399,599,False,,[],0,0,positive
1026.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1026.jpg,600,600,True,CARING,"[{'x': 53, 'y': 188}, {'x': 504, 'y': 188}, {'x': 504, 'y': 252}, {'x': 53, 'y': 252}]",64,451,positive
1027.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1027.jpg,1024,577,True,"ooo EE
Search
18:44
61%
Suzie Housen The New
Facebay For Tunbridge Wells
1 hour ago
LT
*VINTAGE * WW2 duvet pattern
£35 Barden Road Tonbridge
Like
5
榮
Comment
Share
Write a comment...
News Feed Requests Messenger Notifications
Post
More","[{'x': 8, 'y': 10}, {'x': 554, 'y': 10}, {'x': 554, 'y': 1022}, {'x': 8, 'y': 1022}]",1012,546,neutral
1028.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1028.jpg,800,600,True,Dou,"[{'x': 365, 'y': 781}, {'x': 397, 'y': 781}, {'x': 397, 'y': 795}, {'x': 365, 'y': 795}]",14,32,positive
1029.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1029.jpg,600,600,True,"Motivation is What Gets You Started.
Habit Is What Keeps You Going.
After 4 days on the plan. Lost 11lbs and 2
inches of my waist. Very happy
Juice PLUS+ and a clean diet. Going to
keep it going but extremely happy with the
progress and even happier with the
business! Feel free to share
DOB","[{'x': 45, 'y': 23}, {'x': 540, 'y': 23}, {'x': 540, 'y': 446}, {'x': 45, 'y': 446}]",423,495,positive
103.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/103.jpg,751,599,True,Digital Photography,"[{'x': 54, 'y': 681}, {'x': 208, 'y': 681}, {'x': 208, 'y': 701}, {'x': 54, 'y': 701}]",20,154,positive
1030.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1030.jpg,800,600,True,"San
Sanli
Cessi","[{'x': 234, 'y': 287}, {'x': 277, 'y': 287}, {'x': 277, 'y': 500}, {'x': 234, 'y': 500}]",213,43,negative
1031.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1031.jpg,336,598,True,"THAR
AR
15
HARVARD ARVARD
C
HARVA
12
Reebok
TARVAR
13
H
¥
VAUGHN","[{'x': 27, 'y': 46}, {'x': 563, 'y': 46}, {'x': 563, 'y': 313}, {'x': 27, 'y': 313}]",267,536,positive
1032.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1032.jpg,800,600,True,"STRIKE
ON STRIKE
Respect
On 1
ON STRIKE
W
ONA
He Children
Get Health Care
at School
herfingert
BREATHE","[{'x': 204, 'y': 83}, {'x': 554, 'y': 83}, {'x': 554, 'y': 799}, {'x': 204, 'y': 799}]",716,350,neutral
1033.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1033.jpg,800,600,False,,[],0,0,positive
1034.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1034.jpg,600,600,True,"WE WHO ARE
STRONG
MUST BE CONSIDERATE
OF THOSE WHO ARE
SENSITIVE
ABOUT THINGS LIKE THIS.
WE MUST NOT JUST PLEASE OURSELVES.
ROMANS 15:1 NLT
KLOVE","[{'x': 46, 'y': 68}, {'x': 577, 'y': 68}, {'x': 577, 'y': 583}, {'x': 46, 'y': 583}]",515,531,negative
1035.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1035.jpg,900,600,True,83,"[{'x': 329, 'y': 547}, {'x': 356, 'y': 547}, {'x': 356, 'y': 572}, {'x': 329, 'y': 572}]",25,27,positive
1036.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1036.jpg,900,599,False,,[],0,0,positive
1037.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1037.jpg,600,600,True,"Aw
e HeawPaw
MaggieMeowlaw","[{'x': 4, 'y': 71}, {'x': 307, 'y': 71}, {'x': 307, 'y': 575}, {'x': 4, 'y': 575}]",504,303,positive
1038.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1038.jpg,1024,576,True,"NUTATION
TRITIO
THERMO
SHOTS
Play Hard-Train Hard-Stay Hard
THERMO
SHOTS
Play Hard-Train Hard-Stay Hard
60
30
FOOD SUPPLEMENT
30
60
2000 TUPPLEMENT
SERVINGS
THERMO
SHOTS
Play Hard-Train Hard-Stay Hard
60
+FOOD SUPPLIEDKENT
30
57","[{'x': 141, 'y': 189}, {'x': 498, 'y': 189}, {'x': 498, 'y': 882}, {'x': 141, 'y': 882}]",693,357,positive
1039.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1039.jpg,1024,576,False,,[],0,0,neutral
104.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/104.jpg,600,600,True,"12
10
TIMEX
2
-9
3-
.8
4.
765","[{'x': 206, 'y': 214}, {'x': 376, 'y': 214}, {'x': 376, 'y': 370}, {'x': 206, 'y': 370}]",156,170,positive
1040.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1040.jpg,504,504,True,"A HEALTHY
OUTSIDE
STARTS
FROM THE
INSIDE
#BIKINIREADYLIFESTYLE","[{'x': 17, 'y': 136}, {'x': 212, 'y': 136}, {'x': 212, 'y': 398}, {'x': 17, 'y': 398}]",262,195,positive
1041.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1041.jpg,1024,576,False,,[],0,0,positive
1042.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1042.jpg,800,600,True,"Down the line
CLUB SPEED
ATTACK ANG.
SWING DIR.
°
FACE ANG.
400
50
111.3
mph
CLUB PATH
1.5
HEIGHT
93.0
deg
1.2
0.2
CARRY
-1.2
deg
deg
TOTAL
293.9 323.4
2.3
deg
deg
FACE TO PATH
TO
20
Cory Renfrew, Dr, Premium, 915 10.5, Jan 23, 2015 1:59 PM
yds
yds
SPIN RATE
SMASH FAC
BALL SPEED
1901
1.49 165.3
rpm
mph","[{'x': 29, 'y': 205}, {'x': 599, 'y': 205}, {'x': 599, 'y': 584}, {'x': 29, 'y': 584}]",379,570,negative
1043.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1043.jpg,936,600,True,"REBEL
-STUDIO
AN ANIRUDH MUSICAL
AAKKO
DIRECTED BY
M. SHYAM KUMAR
DOP SHIVA.GRN
LYRICS BY VIGNESH SHIVANA R.C.VELU EDITING RUBAN
TLS MURUGADOSS COSTUME PADMA PRIYA EXECUTIVE PRODUCER D.BALAN PRO SURESH CHANDRA
PRODUCED BY DEEPAN BOOPATHY & RATESH VELU
SONY MUSIC
FEB
14
SINGLE
RELEASE
EM&C, CHENNAI","[{'x': 23, 'y': 24}, {'x': 594, 'y': 24}, {'x': 594, 'y': 906}, {'x': 23, 'y': 906}]",882,571,neutral
1044.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1044.jpg,800,600,True,Economic Growth,"[{'x': 363, 'y': 6}, {'x': 456, 'y': 6}, {'x': 456, 'y': 39}, {'x': 363, 'y': 39}]",33,93,negative
1045.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1045.jpg,600,600,True,"50% LESS FAT
than double cream
Elmle
Double light
ative to cream
serving su","[{'x': 0, 'y': 34}, {'x': 561, 'y': 34}, {'x': 561, 'y': 599}, {'x': 0, 'y': 599}]",565,561,positive
1046.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1046.jpg,400,600,False,,[],0,0,positive
1047.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1047.jpg,511,600,True,"STUMPED
574MPED","[{'x': 144, 'y': 25}, {'x': 288, 'y': 25}, {'x': 288, 'y': 216}, {'x': 144, 'y': 216}]",191,144,negative
1048.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1048.jpg,333,599,False,,[],0,0,neutral
1049.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1049.jpg,388,552,False,,[],0,0,neutral
105.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/105.jpg,447,599,False,,[],0,0,positive
1050.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1050.jpg,960,488,True,"""Rap is the new rock and roll.
We the rock stars, and
I'm the biggest of them all.""
-Kanye West
LOL
Bitch, PLEASE.","[{'x': 118, 'y': 103}, {'x': 486, 'y': 103}, {'x': 486, 'y': 716}, {'x': 118, 'y': 716}]",613,368,positive
1051.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1051.jpg,800,600,True,Each Bo,"[{'x': 248, 'y': 79}, {'x': 257, 'y': 79}, {'x': 257, 'y': 101}, {'x': 248, 'y': 101}]",22,9,positive
1052.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1052.jpg,793,599,False,,[],0,0,positive
1053.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1053.jpg,600,600,True,SONY,"[{'x': 243, 'y': 370}, {'x': 274, 'y': 370}, {'x': 274, 'y': 396}, {'x': 243, 'y': 396}]",26,31,neutral
1054.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1054.jpg,525,536,True,"OTA
da
ID","[{'x': 53, 'y': 162}, {'x': 489, 'y': 162}, {'x': 489, 'y': 451}, {'x': 53, 'y': 451}]",289,436,positive
1055.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1055.jpg,1024,553,False,,[],0,0,negative
1056.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1056.jpg,295,295,True,"But I love you!!!
TSEK!!!!!!!!","[{'x': 111, 'y': 7}, {'x': 294, 'y': 7}, {'x': 294, 'y': 112}, {'x': 111, 'y': 112}]",105,183,positive
1057.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1057.jpg,1024,576,False,,[],0,0,positive
1058.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1058.jpg,800,600,False,,[],0,0,positive
1059.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1059.jpg,1024,577,True,"3
OOOOON","[{'x': 18, 'y': 114}, {'x': 548, 'y': 114}, {'x': 548, 'y': 807}, {'x': 18, 'y': 807}]",693,530,positive
106.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/106.jpg,800,600,True,"PLAYBILL
LYCEUM THEATRE
DISGRACED","[{'x': 67, 'y': 58}, {'x': 518, 'y': 58}, {'x': 518, 'y': 519}, {'x': 67, 'y': 519}]",461,451,negative
1060.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1060.jpg,399,599,True,"Is this a ""resistance""?
posters4israel
Or the red carpet at the Oscars?
And who is he about to throw that rock at?","[{'x': 60, 'y': 32}, {'x': 590, 'y': 32}, {'x': 590, 'y': 355}, {'x': 60, 'y': 355}]",323,530,positive
1061.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1061.jpg,600,600,False,,[],0,0,positive
1062.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1062.jpg,975,600,False,,[],0,0,negative
1063.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1063.jpg,1024,577,False,,[],0,0,neutral
1064.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1064.jpg,899,600,True,"#AsiasGotTalent
©2015 SP works-Asia Pte Ltd. All rights reserved. AXN is a registered trademark of AXN Network, Inc.
HOME OF ASIA'S GOT TALENT
AXN","[{'x': 15, 'y': 17}, {'x': 593, 'y': 17}, {'x': 593, 'y': 891}, {'x': 15, 'y': 891}]",874,578,neutral
1065.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1065.jpg,450,600,True,"Aa
Dun wit M
Camry Cd 1
Chwick Start
Mersing of
garden party is
00 vichi bershaw
Audio
Chat
Abdus Salam
L
Card
subhash
Connected","[{'x': 30, 'y': 40}, {'x': 597, 'y': 40}, {'x': 597, 'y': 324}, {'x': 30, 'y': 324}]",284,567,negative
1066.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1066.jpg,1024,576,True,"JOSEPH
HELLER
THE POLYMESMERIC NOVEL THAT
NO ONE WILL FORGET
CATCH
22","[{'x': 21, 'y': 65}, {'x': 536, 'y': 65}, {'x': 536, 'y': 794}, {'x': 21, 'y': 794}]",729,515,positive
1067.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1067.jpg,900,600,True,TW,"[{'x': 407, 'y': 698}, {'x': 471, 'y': 698}, {'x': 471, 'y': 767}, {'x': 407, 'y': 767}]",69,64,positive
1068.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1068.jpg,600,600,False,,[],0,0,positive
1069.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1069.jpg,394,599,True,"ELITE
15
ALL","[{'x': 348, 'y': 173}, {'x': 578, 'y': 173}, {'x': 578, 'y': 231}, {'x': 348, 'y': 231}]",58,230,positive
107.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/107.jpg,830,600,False,,[],0,0,negative
1070.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1070.jpg,800,600,False,,[],0,0,positive
1071.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1071.jpg,450,600,True,EXIT,"[{'x': 337, 'y': 240}, {'x': 352, 'y': 240}, {'x': 352, 'y': 245}, {'x': 337, 'y': 245}]",5,15,neutral
1072.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1072.jpg,337,599,False,,[],0,0,positive
1073.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1073.jpg,600,600,False,,[],0,0,neutral
1074.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1074.jpg,550,507,False,,[],0,0,neutral
1075.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1075.jpg,325,300,True,"ROCK OR BUST WORLD TOUR
SEPTEMBER 15","[{'x': 22, 'y': 125}, {'x': 275, 'y': 125}, {'x': 275, 'y': 310}, {'x': 22, 'y': 310}]",185,253,neutral
1076.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1076.jpg,450,600,True,THE HERD,"[{'x': 147, 'y': 203}, {'x': 447, 'y': 203}, {'x': 447, 'y': 255}, {'x': 147, 'y': 255}]",52,300,negative
1077.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1077.jpg,800,600,False,,[],0,0,positive
1078.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1078.jpg,400,600,True,x,"[{'x': 472, 'y': 277}, {'x': 495, 'y': 277}, {'x': 495, 'y': 289}, {'x': 472, 'y': 289}]",12,23,positive
1079.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1079.jpg,350,462,True,"114th CONGRESS
Lisa201516
Dist by Wash Potterap","[{'x': 142, 'y': 11}, {'x': 457, 'y': 11}, {'x': 457, 'y': 343}, {'x': 142, 'y': 343}]",332,315,positive
108.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/108.jpg,393,599,True,"109
807","[{'x': 138, 'y': 72}, {'x': 454, 'y': 72}, {'x': 454, 'y': 271}, {'x': 138, 'y': 271}]",199,316,positive
1080.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1080.jpg,369,599,True,FOXTV,"[{'x': 576, 'y': 361}, {'x': 598, 'y': 361}, {'x': 598, 'y': 367}, {'x': 576, 'y': 367}]",6,22,positive
1081.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1081.jpg,600,600,True,"Happy
Hour:
4-9pm
Daily
EVERY
TUESDAY
1/2-Off Drinks &
Drafts 4-7pm +
$5 Signature
Cocktails, 7-9pm
Office
BAR
NORTH PARK
Blip-Co& TrueBass present:
Trapped
*DUBSTEP
*TRAP
@The Office
Resident DJ Ramsey
weekly guests
True
as blipco","[{'x': 20, 'y': 40}, {'x': 578, 'y': 40}, {'x': 578, 'y': 576}, {'x': 20, 'y': 576}]",536,558,negative
1082.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1082.jpg,450,600,True,RECUM,"[{'x': 140, 'y': 236}, {'x': 491, 'y': 236}, {'x': 491, 'y': 297}, {'x': 140, 'y': 297}]",61,351,positive
1083.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1083.jpg,600,600,False,,[],0,0,positive
1084.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1084.jpg,800,600,False,,[],0,0,positive
1085.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1085.jpg,800,600,False,,[],0,0,negative
1086.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1086.jpg,1024,576,False,,[],0,0,positive
1087.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1087.jpg,600,600,False,,[],0,0,positive
1088.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1088.jpg,496,600,True,"GUESS WHO! ??????????72
CLICK TO SEE »>
Instagram","[{'x': 14, 'y': 440}, {'x': 593, 'y': 440}, {'x': 593, 'y': 491}, {'x': 14, 'y': 491}]",51,579,positive
1089.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1089.jpg,800,553,True,"José Ramos
amos.com
WE asked me to be in the
Hall of Fame, and I turned
it down. You know why?
They put Pete Rose in the
wrestling Hall of Fame.
This guy can't even get
into his own Hall of Fame.
e your Life (shouttr.net?","[{'x': 0, 'y': 9}, {'x': 538, 'y': 9}, {'x': 538, 'y': 764}, {'x': 0, 'y': 764}]",755,538,positive
109.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/109.jpg,800,600,False,,[],0,0,positive
1090.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1090.jpg,600,600,True,"Itstotallyam
BROK","[{'x': 199, 'y': 123}, {'x': 353, 'y': 123}, {'x': 353, 'y': 494}, {'x': 199, 'y': 494}]",371,154,positive
1091.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1091.jpg,600,600,True,"590
480
XJI
BHO
198
INGER
1288
1300
1900
4.
2290
6.
1398
750號
290€
R
OOHO
ВИННЫЙ
Хлеб
200 Morge","[{'x': 170, 'y': 203}, {'x': 577, 'y': 203}, {'x': 577, 'y': 599}, {'x': 170, 'y': 599}]",396,407,neutral
1092.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1092.jpg,400,600,False,,[],0,0,neutral
1093.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1093.jpg,600,600,False,,[],0,0,neutral
1094.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1094.jpg,300,600,True,MARKER,"[{'x': 144, 'y': 261}, {'x': 189, 'y': 261}, {'x': 189, 'y': 274}, {'x': 144, 'y': 274}]",13,45,positive
1095.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1095.jpg,900,600,False,,[],0,0,neutral
1096.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1096.jpg,800,600,True,"CELEBRATIONS
SOPENING TIMES
HAPPY
Shah-
CAS
PAYN
13
13
13.
13
13
13
13","[{'x': 161, 'y': 48}, {'x': 424, 'y': 48}, {'x': 424, 'y': 412}, {'x': 161, 'y': 412}]",364,263,positive
1097.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1097.jpg,201,598,False,,[],0,0,negative
1098.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1098.jpg,450,600,False,,[],0,0,positive
1099.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1099.jpg,600,600,True,se,"[{'x': 264, 'y': 287}, {'x': 273, 'y': 287}, {'x': 273, 'y': 305}, {'x': 264, 'y': 305}]",18,9,positive
11.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/11.jpg,450,600,True,"B.S
Stia
T
B
IT 3
гр
T
KILK
2015
UUD
Q116
2.1:
ய
PUS
DEVILS","[{'x': 95, 'y': 147}, {'x': 529, 'y': 147}, {'x': 529, 'y': 338}, {'x': 95, 'y': 338}]",191,434,positive
110.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/110.jpg,600,600,False,,[],0,0,positive
